YEAR_MONTH,DAY_TYPE,TIME_PER_HOUR,PT_TYPE,PT_CODE,TOTAL_TAP_IN_VOLUME,TOTAL_TAP_OUT_VOLUME
2023-08,WEEKENDS/HOLIDAY,8,TRAIN,EW22,2381,1818
2023-08,WEEKDAY,8,TRAIN,EW22,18244,49109
2023-08,WEEKENDS/HOLIDAY,7,TRAIN,BP10,1190,509
2023-08,WEEKDAY,7,TRAIN,BP10,14853,3156
2023-08,WEEKENDS/HOLIDAY,15,TRAIN,NE10,7185,7057
2023-08,WEEKDAY,15,TRAIN,NE10,18647,16527
2023-08,WEEKENDS/HOLIDAY,18,TRAIN,EW22,2578,2923
2023-08,WEEKDAY,18,TRAIN,EW22,29942,25086
2023-08,WEEKENDS/HOLIDAY,15,TRAIN,CC25,3514,2562
2023-08,WEEKDAY,15,TRAIN,CC25,8473,6089
2023-08,WEEKENDS/HOLIDAY,12,TRAIN,CE1/DT16,12342,27266
2023-08,WEEKDAY,12,TRAIN,CE1/DT16,21232,41220
2023-08,WEEKDAY,10,TRAIN,SW6,4942,1802
2023-08,WEEKENDS/HOLIDAY,10,TRAIN,SW6,2392,849
2023-08,WEEKDAY,17,TRAIN,DT31,13651,17671
2023-08,WEEKENDS/HOLIDAY,17,TRAIN,DT31,4583,4140
2023-08,WEEKDAY,15,TRAIN,CC14,12737,8690
2023-08,WEEKENDS/HOLIDAY,15,TRAIN,CC14,2826,3270
2023-08,WEEKENDS/HOLIDAY,14,TRAIN,CC16,3091,2893
2023-08,WEEKDAY,14,TRAIN,CC16,8749,7226
2023-08,WEEKENDS/HOLIDAY,10,TRAIN,EW11,10373,9157
2023-08,WEEKDAY,10,TRAIN,EW11,23590,20043
2023-08,WEEKDAY,6,TRAIN,NS24/NE6/CC1,3935,9639
2023-08,WEEKENDS/HOLIDAY,6,TRAIN,NS24/NE6/CC1,1156,1972
2023-08,WEEKENDS/HOLIDAY,22,TRAIN,TE15,3019,1372
2023-08,WEEKDAY,22,TRAIN,TE15,6749,3026
2023-08,WEEKENDS/HOLIDAY,0,TRAIN,EW19,42,312
2023-08,WEEKDAY,0,TRAIN,EW19,91,796
2023-08,WEEKENDS/HOLIDAY,10,TRAIN,EW21/CC22,9744,9142
2023-08,WEEKDAY,10,TRAIN,EW21/CC22,15410,24807
2023-08,WEEKENDS/HOLIDAY,8,TRAIN,CC8,3607,2867
2023-08,WEEKDAY,8,TRAIN,CC8,27878,10990
2023-08,WEEKDAY,17,TRAIN,NE7/DT12,48498,35879
2023-08,WEEKENDS/HOLIDAY,17,TRAIN,NE7/DT12,22344,25234
2023-08,WEEKENDS/HOLIDAY,17,TRAIN,EW33,2939,2170
2023-08,WEEKDAY,17,TRAIN,EW33,16019,6459
2023-08,WEEKDAY,17,TRAIN,NE12/CC13,75328,120235
2023-08,WEEKENDS/HOLIDAY,17,TRAIN,NE12/CC13,33086,38766
2023-08,WEEKDAY,8,TRAIN,NS21/DT11,116341,137998
2023-08,WEEKENDS/HOLIDAY,8,TRAIN,NS21/DT11,17003,19005
2023-08,WEEKENDS/HOLIDAY,0,TRAIN,NE16/STC,250,1992
2023-08,WEEKDAY,0,TRAIN,NE16/STC,510,4596
2023-08,WEEKDAY,0,TRAIN,NS8,757,3451
2023-08,WEEKENDS/HOLIDAY,0,TRAIN,NS8,522,1527
2023-08,WEEKENDS/HOLIDAY,18,TRAIN,NS14,15682,17994
2023-08,WEEKDAY,18,TRAIN,NS14,54135,113601
2023-08,WEEKDAY,12,TRAIN,EW17,24735,25625
2023-08,WEEKENDS/HOLIDAY,12,TRAIN,EW17,13186,11990
2023-08,WEEKDAY,11,TRAIN,TE22,1205,4717
2023-08,WEEKENDS/HOLIDAY,11,TRAIN,TE22,863,3541
2023-08,WEEKDAY,17,TRAIN,DT21,18438,10484
2023-08,WEEKENDS/HOLIDAY,17,TRAIN,DT21,5080,3964
2023-08,WEEKENDS/HOLIDAY,19,TRAIN,NE12/CC13,27506,34231
2023-08,WEEKDAY,19,TRAIN,NE12/CC13,72468,149204
2023-08,WEEKENDS/HOLIDAY,6,TRAIN,EW31,1418,2127
2023-08,WEEKDAY,6,TRAIN,EW31,4395,11231
2023-08,WEEKDAY,15,TRAIN,EW7,11694,16240
2023-08,WEEKENDS/HOLIDAY,15,TRAIN,EW7,7147,7677
2023-08,WEEKENDS/HOLIDAY,0,TRAIN,NE17/PTC,254,1997
2023-08,WEEKDAY,0,TRAIN,NE17/PTC,469,4023
2023-08,WEEKDAY,13,TRAIN,BP12,4754,1763
2023-08,WEEKENDS/HOLIDAY,13,TRAIN,BP12,1238,760
2023-08,WEEKDAY,14,TRAIN,NS17/CC15,47784,44555
2023-08,WEEKENDS/HOLIDAY,14,TRAIN,NS17/CC15,22046,20554
2023-08,WEEKDAY,16,TRAIN,CC10/DT26,16511,13887
2023-08,WEEKENDS/HOLIDAY,16,TRAIN,CC10/DT26,7352,5982
2023-08,WEEKENDS/HOLIDAY,6,TRAIN,DT28,3249,1214
2023-08,WEEKDAY,6,TRAIN,DT28,17194,8350
2023-08,WEEKDAY,5,TRAIN,DT7,180,108
2023-08,WEEKENDS/HOLIDAY,5,TRAIN,DT7,33,1
2023-08,WEEKDAY,11,TRAIN,PW5,2695,1734
2023-08,WEEKENDS/HOLIDAY,11,TRAIN,PW5,2280,928
2023-08,WEEKENDS/HOLIDAY,18,TRAIN,BP3,1896,2426
2023-08,WEEKDAY,18,TRAIN,BP3,5411,14572
2023-08,WEEKDAY,22,TRAIN,CC28,1308,4812
2023-08,WEEKENDS/HOLIDAY,22,TRAIN,CC28,668,2049
2023-08,WEEKENDS/HOLIDAY,13,TRAIN,SW6,1787,1486
2023-08,WEEKDAY,13,TRAIN,SW6,5099,4524
2023-08,WEEKDAY,23,TRAIN,CC23,2134,644
2023-08,WEEKENDS/HOLIDAY,23,TRAIN,CC23,668,288
2023-08,WEEKENDS/HOLIDAY,22,TRAIN,DT13,3186,3126
2023-08,WEEKDAY,22,TRAIN,DT13,8832,7483
2023-08,WEEKDAY,23,TRAIN,NE14,2891,20308
2023-08,WEEKENDS/HOLIDAY,23,TRAIN,NE14,1369,8717
2023-08,WEEKDAY,22,TRAIN,NS9/TE2,26906,66111
2023-08,WEEKENDS/HOLIDAY,22,TRAIN,NS9/TE2,13750,27295
2023-08,WEEKDAY,12,TRAIN,DT22,7749,9472
2023-08,WEEKENDS/HOLIDAY,12,TRAIN,DT22,4537,6517
2023-08,WEEKDAY,18,TRAIN,DT28,43012,28425
2023-08,WEEKENDS/HOLIDAY,18,TRAIN,DT28,6144,6076
2023-08,WEEKENDS/HOLIDAY,12,TRAIN,DT34,2569,1368
2023-08,WEEKDAY,12,TRAIN,DT34,5006,3843
2023-08,WEEKENDS/HOLIDAY,9,TRAIN,SW7,1789,562
2023-08,WEEKDAY,9,TRAIN,SW7,4645,1287
2023-08,WEEKDAY,12,TRAIN,NE17/PTC,40944,39132
2023-08,WEEKENDS/HOLIDAY,12,TRAIN,NE17/PTC,26447,21664
2023-08,WEEKENDS/HOLIDAY,19,TRAIN,NE8,27785,27864
2023-08,WEEKDAY,19,TRAIN,NE8,41145,70119
2023-08,WEEKENDS/HOLIDAY,21,TRAIN,CC24,3653,2714
2023-08,WEEKDAY,21,TRAIN,CC24,29539,4721
2023-08,WEEKDAY,12,TRAIN,EW8/CC9,43205,55746
2023-08,WEEKENDS/HOLIDAY,12,TRAIN,EW8/CC9,30467,34706
2023-08,WEEKDAY,20,TRAIN,BP5,1672,2401
2023-08,WEEKENDS/HOLIDAY,20,TRAIN,BP5,546,856
2023-08,WEEKENDS/HOLIDAY,12,TRAIN,EW15,9996,14017
2023-08,WEEKDAY,12,TRAIN,EW15,35095,39669
2023-08,WEEKDAY,7,TRAIN,SW4,10206,1937
2023-08,WEEKENDS/HOLIDAY,7,TRAIN,SW4,713,395
2023-08,WEEKDAY,22,TRAIN,DT33,3526,26862
2023-08,WEEKENDS/HOLIDAY,22,TRAIN,DT33,1733,10387
2023-08,WEEKDAY,11,TRAIN,EW24/NS1,37033,70807
2023-08,WEEKENDS/HOLIDAY,11,TRAIN,EW24/NS1,21028,43750
2023-08,WEEKDAY,21,TRAIN,EW25,4783,14705
2023-08,WEEKENDS/HOLIDAY,21,TRAIN,EW25,2796,5961
2023-08,WEEKDAY,16,TRAIN,CC2,8173,4808
2023-08,WEEKENDS/HOLIDAY,16,TRAIN,CC2,3012,2895
2023-08,WEEKENDS/HOLIDAY,14,TRAIN,CC12,2650,2814
2023-08,WEEKDAY,14,TRAIN,CC12,12255,6518
2023-08,WEEKDAY,16,TRAIN,NS20,64695,29656
2023-08,WEEKENDS/HOLIDAY,16,TRAIN,NS20,17091,12215
2023-08,WEEKENDS/HOLIDAY,21,TRAIN,NS13,18850,29142
2023-08,WEEKDAY,21,TRAIN,NS13,47011,74137
2023-08,WEEKDAY,5,TRAIN,NS13,28982,4084
2023-08,WEEKENDS/HOLIDAY,5,TRAIN,NS13,5695,669
2023-08,WEEKDAY,5,TRAIN,PW6,732,40
2023-08,WEEKENDS/HOLIDAY,5,TRAIN,PW6,145,11
2023-08,WEEKDAY,13,TRAIN,CC21,13078,9059
2023-08,WEEKENDS/HOLIDAY,13,TRAIN,CC21,4894,5046
2023-08,WEEKDAY,14,TRAIN,PE7,3352,5195
2023-08,WEEKENDS/HOLIDAY,14,TRAIN,PE7,1947,2008
2023-08,WEEKDAY,10,TRAIN,CC20,6450,3662
2023-08,WEEKENDS/HOLIDAY,10,TRAIN,CC20,2945,2211
2023-08,WEEKENDS/HOLIDAY,0,TRAIN,CG2,69,89
2023-08,WEEKDAY,0,TRAIN,CG2,137,291
2023-08,WEEKDAY,16,TRAIN,NE5,15391,14505
2023-08,WEEKENDS/HOLIDAY,16,TRAIN,NE5,6203,7348
2023-08,WEEKDAY,11,TRAIN,NE16/STC,45042,34237
2023-08,WEEKENDS/HOLIDAY,11,TRAIN,NE16/STC,24640,17156
2023-08,WEEKENDS/HOLIDAY,9,TRAIN,TE6,6285,2252
2023-08,WEEKDAY,9,TRAIN,TE6,19142,4508
2023-08,WEEKDAY,13,TRAIN,EW9,24741,18035
2023-08,WEEKENDS/HOLIDAY,13,TRAIN,EW9,12909,11459
2023-08,WEEKENDS/HOLIDAY,16,TRAIN,NS14,15763,13439
2023-08,WEEKDAY,16,TRAIN,NS14,28985,35175
2023-08,WEEKDAY,11,TRAIN,NS15,22448,15923
2023-08,WEEKENDS/HOLIDAY,11,TRAIN,NS15,7246,3612
2023-08,WEEKDAY,5,TRAIN,EW21/CC22,2431,1315
2023-08,WEEKENDS/HOLIDAY,5,TRAIN,EW21/CC22,400,102
2023-08,WEEKENDS/HOLIDAY,11,TRAIN,BP4,1138,584
2023-08,WEEKDAY,11,TRAIN,BP4,7116,2700
2023-08,WEEKDAY,11,TRAIN,NS27/CE2/TE20,4925,5028
2023-08,WEEKENDS/HOLIDAY,11,TRAIN,NS27/CE2/TE20,1431,2944
2023-08,WEEKENDS/HOLIDAY,9,TRAIN,NS17/CC15,19030,12724
2023-08,WEEKDAY,9,TRAIN,NS17/CC15,65581,30891
2023-08,WEEKENDS/HOLIDAY,6,TRAIN,EW10,4357,1380
2023-08,WEEKDAY,6,TRAIN,EW10,21799,4305
2023-08,WEEKDAY,8,TRAIN,NS28,1183,2955
2023-08,WEEKENDS/HOLIDAY,8,TRAIN,NS28,332,1815
2023-08,WEEKDAY,7,TRAIN,EW33,10153,16506
2023-08,WEEKENDS/HOLIDAY,7,TRAIN,EW33,2483,2767
2023-08,WEEKDAY,18,TRAIN,BP12,3365,7700
2023-08,WEEKENDS/HOLIDAY,18,TRAIN,BP12,1005,835
2023-08,WEEKDAY,0,TRAIN,EW14/NS26,907,243
2023-08,WEEKENDS/HOLIDAY,0,TRAIN,EW14/NS26,192,64
2023-08,WEEKDAY,12,TRAIN,TE3,8412,4758
2023-08,WEEKENDS/HOLIDAY,12,TRAIN,TE3,4905,2040
2023-08,WEEKDAY,5,TRAIN,EW15,844,732
2023-08,WEEKENDS/HOLIDAY,5,TRAIN,EW15,154,44
2023-08,WEEKDAY,18,TRAIN,NS7,40496,46275
2023-08,WEEKENDS/HOLIDAY,18,TRAIN,NS7,17212,12234
2023-08,WEEKENDS/HOLIDAY,0,TRAIN,NS15,171,602
2023-08,WEEKDAY,0,TRAIN,NS15,470,1544
2023-08,WEEKDAY,15,TRAIN,NS15,31392,14175
2023-08,WEEKENDS/HOLIDAY,15,TRAIN,NS15,6483,5155
2023-08,WEEKENDS/HOLIDAY,22,TRAIN,DT7,1168,1381
2023-08,WEEKDAY,22,TRAIN,DT7,2646,3510
2023-08,WEEKDAY,15,TRAIN,PW4,3957,5879
2023-08,WEEKENDS/HOLIDAY,15,TRAIN,PW4,2860,2887
2023-08,WEEKDAY,22,TRAIN,TE4,3397,3209
2023-08,WEEKENDS/HOLIDAY,22,TRAIN,TE4,1477,1268
2023-08,WEEKDAY,8,TRAIN,TE5,16280,5906
2023-08,WEEKENDS/HOLIDAY,8,TRAIN,TE5,2080,1017
2023-08,WEEKENDS/HOLIDAY,17,TRAIN,CC6,8434,9122
2023-08,WEEKDAY,17,TRAIN,CC6,15142,19165
2023-08,WEEKENDS/HOLIDAY,8,TRAIN,NE8,7379,9486
2023-08,WEEKDAY,8,TRAIN,NE8,39784,44403
2023-08,WEEKDAY,20,TRAIN,CC7,5028,10037
2023-08,WEEKENDS/HOLIDAY,20,TRAIN,CC7,2142,4048
2023-08,WEEKDAY,20,TRAIN,NS3,11403,33777
2023-08,WEEKENDS/HOLIDAY,20,TRAIN,NS3,4637,10834
2023-08,WEEKDAY,10,TRAIN,SE3,3723,1263
2023-08,WEEKENDS/HOLIDAY,10,TRAIN,SE3,1804,819
2023-08,WEEKDAY,9,TRAIN,EW16/NE3/TE17,26860,74500
2023-08,WEEKENDS/HOLIDAY,9,TRAIN,EW16/NE3/TE17,7147,9051
2023-08,WEEKDAY,18,TRAIN,NE16/STC,69950,152898
2023-08,WEEKENDS/HOLIDAY,18,TRAIN,NE16/STC,21518,28424
2023-08,WEEKDAY,15,TRAIN,EW23,48832,44961
2023-08,WEEKENDS/HOLIDAY,15,TRAIN,EW23,21696,21449
2023-08,WEEKENDS/HOLIDAY,20,TRAIN,NE8,29473,19488
2023-08,WEEKDAY,20,TRAIN,NE8,39802,41579
2023-08,WEEKDAY,19,TRAIN,EW33,7088,5842
2023-08,WEEKENDS/HOLIDAY,19,TRAIN,EW33,2365,2481
2023-08,WEEKENDS/HOLIDAY,8,TRAIN,TE16,2066,1624
2023-08,WEEKDAY,8,TRAIN,TE16,11895,14060
2023-08,WEEKENDS/HOLIDAY,7,TRAIN,BP5,684,510
2023-08,WEEKDAY,7,TRAIN,BP5,6840,3966
2023-08,WEEKENDS/HOLIDAY,8,TRAIN,SW6,2034,607
2023-08,WEEKDAY,8,TRAIN,SW6,12658,2944
2023-08,WEEKENDS/HOLIDAY,16,TRAIN,EW4,8004,7875
2023-08,WEEKDAY,16,TRAIN,EW4,20225,16369
2023-08,WEEKDAY,14,TRAIN,CC2,5452,7255
2023-08,WEEKENDS/HOLIDAY,14,TRAIN,CC2,2427,2916
2023-08,WEEKDAY,12,TRAIN,NE14,30720,20798
2023-08,WEEKENDS/HOLIDAY,12,TRAIN,NE14,18176,10957
2023-08,WEEKDAY,20,TRAIN,NE4/DT19,92575,42778
2023-08,WEEKENDS/HOLIDAY,20,TRAIN,NE4/DT19,36230,19912
2023-08,WEEKENDS/HOLIDAY,0,TRAIN,SE5,27,146
2023-08,WEEKDAY,0,TRAIN,SE5,48,297
2023-08,WEEKDAY,23,TRAIN,EW6,1515,7555
2023-08,WEEKENDS/HOLIDAY,23,TRAIN,EW6,666,3037
2023-08,WEEKDAY,12,TRAIN,CC4/DT15,18150,32051
2023-08,WEEKENDS/HOLIDAY,12,TRAIN,CC4/DT15,5926,13953
2023-08,WEEKDAY,15,TRAIN,NE4/DT19,65254,56519
2023-08,WEEKENDS/HOLIDAY,15,TRAIN,NE4/DT19,38596,31956
2023-08,WEEKENDS/HOLIDAY,8,TRAIN,SW1,989,774
2023-08,WEEKDAY,8,TRAIN,SW1,4593,7877
2023-08,WEEKENDS/HOLIDAY,9,TRAIN,NS10,24114,10377
2023-08,WEEKDAY,9,TRAIN,NS10,65355,26394
2023-08,WEEKDAY,6,TRAIN,CC16,9103,4577
2023-08,WEEKENDS/HOLIDAY,6,TRAIN,CC16,1152,708
2023-08,WEEKDAY,13,TRAIN,TE4,3978,3565
2023-08,WEEKENDS/HOLIDAY,13,TRAIN,TE4,2785,1927
2023-08,WEEKDAY,11,TRAIN,BP12,3098,1242
2023-08,WEEKENDS/HOLIDAY,11,TRAIN,BP12,1599,716
2023-08,WEEKENDS/HOLIDAY,13,TRAIN,NE17/PTC,25816,24124
2023-08,WEEKDAY,13,TRAIN,NE17/PTC,44279,44469
2023-08,WEEKENDS/HOLIDAY,20,TRAIN,DT5,4502,6863
2023-08,WEEKDAY,20,TRAIN,DT5,12207,18558
2023-08,WEEKENDS/HOLIDAY,15,TRAIN,DT22,5455,5912
2023-08,WEEKDAY,15,TRAIN,DT22,7385,8110
2023-08,WEEKDAY,21,TRAIN,CC27,5355,807
2023-08,WEEKENDS/HOLIDAY,21,TRAIN,CC27,966,309
2023-08,WEEKDAY,15,TRAIN,SE4,2867,3918
2023-08,WEEKENDS/HOLIDAY,15,TRAIN,SE4,1593,1576
2023-08,WEEKENDS/HOLIDAY,19,TRAIN,PW6,341,738
2023-08,WEEKDAY,19,TRAIN,PW6,1185,3760
2023-08,WEEKENDS/HOLIDAY,8,TRAIN,NE10,5719,4666
2023-08,WEEKDAY,8,TRAIN,NE10,46304,41931
2023-08,WEEKDAY,15,TRAIN,NS5,21770,27181
2023-08,WEEKENDS/HOLIDAY,15,TRAIN,NS5,11982,12860
2023-08,WEEKENDS/HOLIDAY,11,TRAIN,DT13,4750,6712
2023-08,WEEKDAY,11,TRAIN,DT13,8673,14981
2023-08,WEEKENDS/HOLIDAY,20,TRAIN,DT27,2160,4585
2023-08,WEEKDAY,20,TRAIN,DT27,8157,10626
2023-08,WEEKENDS/HOLIDAY,20,TRAIN,SW3,386,1279
2023-08,WEEKDAY,20,TRAIN,SW3,970,4060
2023-08,WEEKENDS/HOLIDAY,14,TRAIN,EW16/NE3/TE17,11810,8644
2023-08,WEEKDAY,14,TRAIN,EW16/NE3/TE17,31632,37170
2023-08,WEEKDAY,21,TRAIN,CG1/DT35,22390,3408
2023-08,WEEKENDS/HOLIDAY,21,TRAIN,CG1/DT35,11127,2073
2023-08,WEEKENDS/HOLIDAY,13,TRAIN,NS21/DT11,31502,31192
2023-08,WEEKDAY,13,TRAIN,NS21/DT11,54211,66812
2023-08,WEEKENDS/HOLIDAY,17,TRAIN,TE12,2376,1417
2023-08,WEEKDAY,17,TRAIN,TE12,14429,3231
2023-08,WEEKENDS/HOLIDAY,7,TRAIN,CC23,852,2793
2023-08,WEEKDAY,7,TRAIN,CC23,4078,38852
2023-08,WEEKENDS/HOLIDAY,16,TRAIN,SW1,1269,895
2023-08,WEEKDAY,16,TRAIN,SW1,5375,2609
2023-08,WEEKDAY,20,TRAIN,NE15,11084,38919
2023-08,WEEKENDS/HOLIDAY,20,TRAIN,NE15,4350,12040
2023-08,WEEKDAY,13,TRAIN,EW29,9245,7446
2023-08,WEEKENDS/HOLIDAY,13,TRAIN,EW29,5862,4074
2023-08,WEEKENDS/HOLIDAY,13,TRAIN,EW30,1137,523
2023-08,WEEKDAY,13,TRAIN,EW30,1271,1089
2023-08,WEEKENDS/HOLIDAY,7,TRAIN,EW32,2689,4819
2023-08,WEEKDAY,7,TRAIN,EW32,6141,34545
2023-08,WEEKENDS/HOLIDAY,7,TRAIN,NE14,10733,4507
2023-08,WEEKDAY,7,TRAIN,NE14,100982,41119
2023-08,WEEKENDS/HOLIDAY,13,TRAIN,SE3,1724,1242
2023-08,WEEKDAY,13,TRAIN,SE3,4318,3349
2023-08,WEEKDAY,20,TRAIN,EW30,6585,1493
2023-08,WEEKENDS/HOLIDAY,20,TRAIN,EW30,1077,1453
2023-08,WEEKENDS/HOLIDAY,12,TRAIN,NS17/CC15,24474,19396
2023-08,WEEKDAY,12,TRAIN,NS17/CC15,46896,43300
2023-08,WEEKDAY,15,TRAIN,EW26,22448,25727
2023-08,WEEKENDS/HOLIDAY,15,TRAIN,EW26,13373,12906
2023-08,WEEKDAY,17,TRAIN,TE13,8617,4022
2023-08,WEEKENDS/HOLIDAY,17,TRAIN,TE13,2283,1488
2023-08,WEEKENDS/HOLIDAY,9,TRAIN,EW23,20433,16450
2023-08,WEEKDAY,9,TRAIN,EW23,57266,54736
2023-08,WEEKDAY,21,TRAIN,DT34,2687,5316
2023-08,WEEKENDS/HOLIDAY,21,TRAIN,DT34,826,2396
2023-08,WEEKDAY,7,TRAIN,DT33,76533,21309
2023-08,WEEKENDS/HOLIDAY,7,TRAIN,DT33,6659,2491
2023-08,WEEKDAY,0,TRAIN,DT24,74,468
2023-08,WEEKENDS/HOLIDAY,0,TRAIN,DT24,35,252
2023-08,WEEKENDS/HOLIDAY,0,TRAIN,NS18,106,753
2023-08,WEEKDAY,0,TRAIN,NS18,187,1724
2023-08,WEEKDAY,22,TRAIN,NS24/NE6/CC1,42697,12153
2023-08,WEEKENDS/HOLIDAY,22,TRAIN,NS24/NE6/CC1,17029,5773
2023-08,WEEKENDS/HOLIDAY,21,TRAIN,EW3,4223,9839
2023-08,WEEKDAY,21,TRAIN,EW3,10287,24712
2023-08,WEEKDAY,20,TRAIN,NE13,18500,30465
2023-08,WEEKENDS/HOLIDAY,20,TRAIN,NE13,7209,10312
2023-08,WEEKENDS/HOLIDAY,19,TRAIN,NS17/CC15,17380,20153
2023-08,WEEKDAY,19,TRAIN,NS17/CC15,58336,94386
2023-08,WEEKDAY,14,TRAIN,TE8,8082,8560
2023-08,WEEKENDS/HOLIDAY,14,TRAIN,TE8,5858,4267
2023-08,WEEKENDS/HOLIDAY,23,TRAIN,CC17/TE9,340,1049
2023-08,WEEKDAY,23,TRAIN,CC17/TE9,691,2602
2023-08,WEEKENDS/HOLIDAY,10,TRAIN,DT18,1525,3728
2023-08,WEEKDAY,10,TRAIN,DT18,5568,28199
2023-08,WEEKDAY,19,TRAIN,EW23,72090,96300
2023-08,WEEKENDS/HOLIDAY,19,TRAIN,EW23,20566,23704
2023-08,WEEKENDS/HOLIDAY,14,TRAIN,EW15,12874,10463
2023-08,WEEKDAY,14,TRAIN,EW15,31473,29854
2023-08,WEEKENDS/HOLIDAY,23,TRAIN,EW12/DT14,12155,5101
2023-08,WEEKDAY,23,TRAIN,EW12/DT14,25269,11059
2023-08,WEEKDAY,7,TRAIN,NS15,41387,84347
2023-08,WEEKENDS/HOLIDAY,7,TRAIN,NS15,4966,5237
2023-08,WEEKENDS/HOLIDAY,12,TRAIN,EW30,1445,570
2023-08,WEEKDAY,12,TRAIN,EW30,2047,1089
2023-08,WEEKDAY,12,TRAIN,NE11,11781,12799
2023-08,WEEKENDS/HOLIDAY,12,TRAIN,NE11,6840,6610
2023-08,WEEKDAY,8,TRAIN,PE5,18980,3399
2023-08,WEEKENDS/HOLIDAY,8,TRAIN,PE5,3146,820
2023-08,WEEKDAY,14,TRAIN,TE19,5366,5978
2023-08,WEEKENDS/HOLIDAY,14,TRAIN,TE19,1637,1390
2023-08,WEEKDAY,19,TRAIN,TE19,23421,3618
2023-08,WEEKENDS/HOLIDAY,19,TRAIN,TE19,1484,1290
2023-08,WEEKDAY,9,TRAIN,CC11,8048,68702
2023-08,WEEKENDS/HOLIDAY,9,TRAIN,CC11,2673,6701
2023-08,WEEKDAY,0,TRAIN,SE1,59,591
2023-08,WEEKENDS/HOLIDAY,0,TRAIN,SE1,18,298
2023-08,WEEKENDS/HOLIDAY,10,TRAIN,NS4/BP1,17310,12518
2023-08,WEEKDAY,10,TRAIN,NS4/BP1,32066,23569
2023-08,WEEKDAY,22,TRAIN,NS5,9035,33954
2023-08,WEEKENDS/HOLIDAY,22,TRAIN,NS5,4409,13776
2023-08,WEEKDAY,22,TRAIN,SE3,561,4531
2023-08,WEEKENDS/HOLIDAY,22,TRAIN,SE3,182,1923
2023-08,WEEKENDS/HOLIDAY,19,TRAIN,EW26,11495,18409
2023-08,WEEKDAY,19,TRAIN,EW26,28770,85548
2023-08,WEEKDAY,6,TRAIN,BP3,13046,1239
2023-08,WEEKENDS/HOLIDAY,6,TRAIN,BP3,1299,232
2023-08,WEEKDAY,13,TRAIN,EW12/DT14,68543,73039
2023-08,WEEKENDS/HOLIDAY,13,TRAIN,EW12/DT14,32966,49450
2023-08,WEEKDAY,8,TRAIN,CG2,14179,35419
2023-08,WEEKENDS/HOLIDAY,8,TRAIN,CG2,5994,9119
2023-08,WEEKDAY,13,TRAIN,CC19/DT9,8201,7852
2023-08,WEEKENDS/HOLIDAY,13,TRAIN,CC19/DT9,5525,5315
2023-08,WEEKDAY,8,TRAIN,DT23,7593,24181
2023-08,WEEKENDS/HOLIDAY,8,TRAIN,DT23,956,1687
2023-08,WEEKENDS/HOLIDAY,20,TRAIN,TE12,1103,918
2023-08,WEEKDAY,20,TRAIN,TE12,3224,2096
2023-08,WEEKENDS/HOLIDAY,14,TRAIN,NS15,5916,5107
